source_store_id,canonical_store_id,reason,source_url,verified_at
independent-other-optical-osm-au-node-11730741731,independent-other-optical-provision-245703,Official ProVision practice and canonical store share name and postcode with corroborating coordinates,https://www.provision.com.au/practice/monocle-optometry/,2026-09-02
independent-other-optical-osm-au-node-12547015064,independent-other-optical-provision-16751,Official ProVision practice and canonical store share address and a consistent business name,https://www.provision.com.au/practice/beckenham-optometrist/,2026-09-02
independent-other-optical-osm-au-node-5738744123,independent-other-optical-provision-17480,Official ProVision practice and canonical store share name and postcode with corroborating coordinates,https://www.provision.com.au/practice/trevor-williams-optometry/,2026-09-02
independent-other-optical-osm-au-node-6057522187,independent-other-optical-provision-17868,Official ProVision practice and canonical store share address and a consistent business name,https://www.provision.com.au/practice/ian-liley-optometrist/,2026-09-02
independent-other-optical-osm-au-node-616584782,independent-other-optical-provision-17199,Official ProVision practice and canonical store share address and a consistent business name,https://www.provision.com.au/practice/alfred-nott-optometrists-port-melbourne/,2026-09-02
independent-other-optical-osm-au-node-6859346009,independent-other-optical-provision-36636,Official ProVision practice and canonical store share address and a consistent business name,https://www.provision.com.au/practice/optometrist-narrabri-vision-splendid/,2026-09-02
independent-other-optical-osm-au-node-949241785,independent-other-optical-provision-17765,Official ProVision practice and canonical store share name and postcode with corroborating coordinates,https://www.provision.com.au/practice/see-optometry/,2026-09-02
independent-other-optical-osm-au-way-1443622715,independent-other-optical-provision-17134,Official ProVision practice and canonical store share address and a consistent business name,https://www.provision.com.au/practice/wills-street-eyecare-optometrist-bendigo/,2026-09-02
independent-other-optical-osm-au-way-631561733,independent-other-optical-provision-17010,Official ProVision practice and canonical store share address and a consistent business name,https://www.provision.com.au/practice/vision-on-koornang/,2026-09-02
independent-other-optical-osm-au-way-771544870,independent-other-optical-provision-17208,Official ProVision practice and canonical store share name and postcode with corroborating coordinates,https://www.provision.com.au/practice/carlton-eyecare-consultants/,2026-09-02
